"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 11:11:32 BRT 2023","Wed Jun 14 11:11:45 BRT 2023","13021","Cadastro Regras de imposto ISS","Alterar","","","","Alterar Regras de imposto ISS",""
"passed","Wed Jun 14 11:14:23 BRT 2023","Wed Jun 14 11:14:33 BRT 2023","10102","Cadastro Imposto Simples","Excluir","","","","Excluir Imposto Simples",""
"passed","Wed Jun 14 11:09:34 BRT 2023","Wed Jun 14 11:09:43 BRT 2023","9127","Cadastro Integradores","Alterar","","","","Alterar Integradores",""
"passed","Wed Jun 14 11:21:00 BRT 2023","Wed Jun 14 11:21:11 BRT 2023","11334","Cadastro Intermediador","Cadastro","","","","Cadastrar Intermediador",""
"passed","Wed Jun 14 10:46:54 BRT 2023","Wed Jun 14 10:47:09 BRT 2023","14240","Cadastro Finalizadora","Cadastro","","","","Cadastrar Finalizadora",""
"passed","Wed Jun 14 11:17:02 BRT 2023","Wed Jun 14 11:17:15 BRT 2023","12597","Cadastro Cedulas","Cadastro","","","","Cadastrar Cedulas",""
"passed","Wed Jun 14 10:43:03 BRT 2023","Wed Jun 14 10:43:16 BRT 2023","12677","Cadastro Clientes PF","Excluir","","","","Excluir cliente PF",""
"passed","Wed Jun 14 11:03:46 BRT 2023","Wed Jun 14 11:03:58 BRT 2023","11947","Cadastro CFOP","Alterar","","","","Alterar CFOP",""
"passed","Wed Jun 14 11:00:08 BRT 2023","Wed Jun 14 11:00:16 BRT 2023","7953","Cadastro Serviços","Excluir","","","","Excluir Serviços",""
"passed","Wed Jun 14 10:51:02 BRT 2023","Wed Jun 14 10:51:10 BRT 2023","7929","Cadastro Familia","Excluir","","","","Excluir Familia",""
"passed","Wed Jun 14 11:05:59 BRT 2023","Wed Jun 14 11:06:09 BRT 2023","9802","Cadastro Excecao impostos ISS","Excluir","","","","Excluir Excecao impostos ISS",""
"passed","Wed Jun 14 11:11:18 BRT 2023","Wed Jun 14 11:11:32 BRT 2023","13448","Cadastro Regras de imposto ISS","Cadastro","","","","Cadastrar Regras de imposto ISS",""
"passed","Wed Jun 14 10:45:36 BRT 2023","Wed Jun 14 10:45:47 BRT 2023","10831","Cadastro Departamento loja","Cadastro","","","","Cadastrar Departamento Geral",""
